"index","Date","Open","High","Low","Close","Adj Close","Volume"
"294","2011-03-03","12.7568","12.8496","12.7114","12.8414","11.0098","500788400"
"295","2011-03-04","12.8596","12.8675","12.7768","12.8571","11.0233","453266800"
"296","2011-03-07","12.9071","12.9168","12.5468","12.6914","10.8812","546123200"
"297","2011-03-08","12.6754","12.7643","12.5804","12.7057","10.8934","356316800"
"298","2011-03-09","12.6675","12.67","12.5214","12.5882","10.7927","453306000"
"299","2011-03-10","12.4686","12.4918","12.3179","12.3811","10.6151","507539200"
"300","2011-03-11","12.3332","12.5829","12.3214","12.5711","10.778","471080400"
"301","2011-03-14","12.6136","12.7314","12.5468","12.6271","10.8261","435957200"
"302","2011-03-15","12.2179","12.4229","12.1464","12.3368","10.5771","721081200"
"303","2011-03-16","12.2143","12.25","11.6521","11.7861","10.105","1162011200"
"304","2011-03-17","12.0296","12.1289","11.8093","11.9514","10.2467","659422400"
"305","2011-03-18","12.0404","12.0786","11.7857","11.8096","10.1252","753214000"
"306","2011-03-21","11.9996","12.1336","11.9736","12.1179","10.3894","409402000"
"307","2011-03-22","12.2343","12.2364","12.1121","12.1857","10.4476","325922800"
"308","2011-03-23","12.1171","12.1507","11.9982","12.1139","10.3861","372996400"
"309","2011-03-24","12.2089","12.3571","12.1021","12.3204","10.563","404712000"
"310","2011-03-25","12.4311","12.5736","12.3936","12.555","10.7642","448910000"
"311","2011-03-28","12.6125","12.6543","12.5157","12.5157","10.7305","309355200"
"312","2011-03-29","12.4164","12.5343","12.3593","12.5343","10.7465","352900800"
"313","2011-03-30","12.5229","12.5314","12.4086","12.4511","10.6751","329406000"
"314","2011-03-31","12.37","12.4929","12.3593","12.4468","10.6714","274019200"
"315","2011-04-01","12.5396","12.5568","12.2607","12.3057","10.5505","418661600"
"316","2011-04-04","12.2968","12.3071","12.0857","12.1854","10.4473","460084800"
"317","2011-04-05","12.0354","12.2232","12","12.1032","10.3769","482731200"
"318","2011-04-06","12.1864","12.2821","12.0407","12.0729","10.3508","402539200"
"319","2011-04-07","12.075","12.1582","12.0011","12.0743","10.3521","373447200"
"320","2011-04-08","12.14","12.1482","11.9268","11.9664","10.2596","377535200"
